0.02,0.1,0.5,1,5,5n,compound
-0.0508482,-0.451232,-7.51434,-0.00111,-0.02792,-0.02555,PBS
-0.110977,-0.438037,-5.26861,-54.4772,-0.01301,-0.01842,PBS
-0.010073,-0.425015,-4.37171,-34.9299,-0.00951,-0.01851,PBS
-0.150482,-0.412165,-3.80492,-23.9576,-0.00981,-0.0188,PBS
-0.110232,-0.399486,-3.39362,-17.4229,-0.01027,-0.01903,PBS
-0.0349806,-0.386979,-3.07475,-13.2123,-0.0104,-0.01885,PBS
-0.0781672,-0.374644,-2.80949,-10.3393,-0.01036,-0.01846,PBS
-0.0838789,-0.362481,-0.25906,-8.47191,-0.01022,-0.01824,PBS
-0.0833316,-0.035049,-2.40391,-6.71346,-0.00988,-0.01758,PBS
-0.0824751,-0.033867,-2.23922,-5.58261,-0.00947,-0.01686,PBS
-0.0799935,-0.327022,-2.09287,-4.66201,-0.009,-0.0161,PBS
-0.0775934,-0.315547,-1.96116,-0.38825,-0.00855,-0.0153,PBS
-0.0754568,-0.304243,-1.83957,-3.22178,-0.00806,-0.01451,PBS
-0.0736633,-0.029311,-1.72902,-0.26579,-0.00759,-0.01374,PBS
-0.0719407,-0.028215,-1.62399,-2.17764,-0.00717,-0.01291,PBS
-0.0702606,-0.271361,-1.52604,-1.77477,-0.0067,-0.01213,PBS
-0.0675157,-0.260744,-1.43517,-1.44205,-0.00626,-0.01134,PBS
-0.0664982,-0.250299,-1.34738,-1.17489,-0.00583,-0.0106,PBS
-0.0646985,-0.240026,-1.26588,-0.979226,-0.00539,-0.00989,PBS
-0.0628319,-0.229925,-1.18737,-0.754642,-0.00496,-0.00917,PBS
-0.0619541,-0.219995,-1.12419,-0.607216,-0.00455,-0.00849,PBS
-0.0596484,-0.210237,-1.04647,-0.476028,-0.00415,-0.00788,PBS
-0.0573993,-0.200652,-1.09104,-0.362843,-0.00374,-0.00727,PBS
-0.0558456,-0.191237,-0.905176,-0.273418,-0.00335,-0.00674,PBS
-0.0541923,-0.181995,-1.04075,-0.193577,-0.00298,-0.00617,PBS
-0.0524659,-0.172925,-0.819556,-0.138099,-0.00263,-0.0056,PBS
-0.0508198,-0.164026,-0.745783,-0.345885,-0.00239,-0.00499,PBS
-0.0048999,-0.155299,-0.687712,-0.239363,-0.0021,-0.0044,PBS
-0.0047198,-0.146744,-0.632527,-0.204473,-0.00185,-0.00381,PBS
-0.0459075,-0.138361,-0.591532,-0.021434,-0.00165,-0.00323,PBS
-0.0446521,-0.013015,-0.053518,-0.217502,-0.00149,-0.00272,PBS
-0.0445499,-0.012211,-0.482713,-0.174857,-0.00141,-0.00221,PBS
-0.0415874,-0.114242,-0.439728,-0.158354,-0.00134,-0.0018,PBS
-0.0389022,-0.115758,-0.381099,-0.104677,-0.00125,-0.00146,PBS
-0.0366616,-0.111294,-0.330632,-0.103924,-0.00114,-0.00119,PBS
-0.0034935,-0.106094,-0.287208,0.0193113,-0.00102,-97.4943,PBS
-0.0329737,-0.103543,-0.296382,0.0729371,-87.7942,-79.3874,PBS
-0.0314562,-0.0977997,-0.207314,0.149785,-73.3035,-60.6832,PBS
-0.0295521,-0.0915607,-0.001676,0.165328,-59.0461,-48.2059,PBS
-0.0275727,-0.0852352,-0.012929,0.185519,-47.4799,-40.3418,PBS
-0.0026506,-0.0788166,-0.102943,0.196069,-3.6759,-30.1791,PBS
-0.0024439,-0.0723142,-0.148742,0.233284,-25.8281,-21.1094,PBS
-0.0226555,-0.0657216,-0.163827,0.019974,-18.5575,-22.7212,PBS
-0.0223858,-0.0591121,-0.210429,0.297741,-10.1948,-1.1952,PBS
-0.0202363,-0.0524819,-0.161193,0.326038,0.25344,8.53839,PBS
-0.0202007,-0.0457061,-0.011781,0.348784,24.9981,41.0803,PBS
-0.0016644,-0.0386495,-0.0103904,0.392866,31.1686,0.5123,PBS
-0.0145836,-0.0318594,-0.0335904,0.043599,26.7112,59.6969,PBS
-0.0134186,-0.0251005,0.0279351,0.497103,27.6887,77.1599,PBS
-0.0119055,-0.0182779,0.0671746,0.557438,29.7877,81.3438,PBS
-0.0105524,-0.0113864,0.173309,0.634054,36.3637,69.9259,PBS
-0.000200544,-0.00458714,0.184251,0.070526,43.7641,68.6987,PBS
-0.00103845,0.00228399,0.211722,0.787535,54.6034,77.1589,PBS
-0.00249437,0.00919218,0.233616,0.845879,66.7138,91.2846,PBS
-0.00775532,0.0160857,0.259638,0.947414,75.9216,0.00105,PBS
-0.00415139,0.0230969,0.283672,1.02495,78.9203,0.0011,PBS
-0.000141596,0.0300996,0.303362,1.11671,89.4658,0.00126,PBS
-0.000840135,0.0372122,0.324439,1.21895,0.00101,0.0015,PBS
-0.000952285,0.0439493,0.333073,1.32335,0.00107,0.00176,PBS
-0.000579855,0.0005101,0.359384,0.14076,0.00121,0.00199,PBS
0.0000464149,0.0579944,0.363117,1.51563,0.00132,0.00225,PBS
0.000104783,0.0650782,0.039045,1.63751,0.00139,0.00246,PBS
0.232585,0.0722052,0.414309,1.77245,0.00142,0.00258,PBS
0.000156176,0.0794108,0.004415,1.92918,0.00142,0.00263,PBS
0.219197,0.0867803,0.466866,2.11381,0.00142,0.0026,PBS
0.0000895333,0.0943828,0.495489,2.34536,0.00142,0.00255,PBS
